pokemonId,latitude,longitude,appearedLocalTime,cluster
52,37.604034,-77.375284,2016-09-07T22:48:10,4
118,60.398345,5.311977,2016-09-07T22:48:08,3
13,39.651293,-77.705905,2016-09-07T22:48:07,4
96,52.998822,6.557068,2016-09-07T22:48:06,3
19,25.723607,-100.368431,2016-09-07T22:48:06,2
10,39.523752,-84.367882,2016-09-07T22:48:05,4
72,43.768927,-79.211145,2016-09-07T22:48:04,4
41,52.403388,16.921959,2016-09-07T22:48:04,3
16,41.850749,12.587764,2016-09-07T22:48:03,3
16,47.662312,-122.300283,2016-09-07T22:48:00,2
19,39.749170,-84.092169,2016-09-07T22:47:58,4
116,43.772403,-79.207267,2016-09-07T22:47:55,4
96,43.771744,-79.210440,2016-09-07T22:47:55,4
56,36.780872,-119.760021,2016-09-07T22:47:55,2
16,49.154799,-123.019665,2016-09-07T22:47:55,2
10,41.605908,-87.837899,2016-09-07T22:47:54,4
19,39.757574,-84.055603,2016-09-07T22:47:53,4
16,38.856173,-77.342268,2016-09-07T22:47:53,4
17,41.598989,-87.843042,2016-09-07T22:47:51,4
16,32.833966,-83.642117,2016-09-07T22:47:51,4
16,20.477519,-97.450517,2016-09-07T22:47:51,2
96,35.147494,-120.649245,2016-09-07T22:47:50,2
48,39.749426,-84.084577,2016-09-07T22:47:49,4
63,52.402814,16.927609,2016-09-07T22:47:46,3
13,49.156938,-123.019352,2016-09-07T22:47:46,2
19,39.742042,-84.087713,2016-09-07T22:47:44,4
25,40.981598,-81.306115,2016-09-07T22:47:42,4
119,37.601234,-122.368269,2016-09-07T22:47:41,2
96,52.402202,16.925945,2016-09-07T22:47:40,3
133,41.601016,-87.838897,2016-09-07T22:47:40,4
10,50.131423,14.128182,2016-09-07T22:47:39,3
16,50.133558,14.125506,2016-09-07T22:47:39,3
46,36.855626,-121.430574,2016-09-07T22:47:38,2
13,-22.914136,-43.252869,2016-09-07T22:47:37,1
19,37.600121,-122.368977,2016-09-07T22:47:34,2
60,47.662128,-122.295151,2016-09-07T22:47:33,2
16,49.255352,14.721753,2016-09-07T22:47:31,3
21,29.935500,-90.073910,2016-09-07T22:47:31,4
133,49.125663,-122.658307,2016-09-07T22:47:29,2
129,40.922839,9.509778,2016-09-07T22:47:29,3
13,39.749737,-84.089115,2016-09-07T22:47:28,4
74,25.722858,-100.373783,2016-09-07T22:47:27,2
133,47.660927,-122.300601,2016-09-07T22:47:26,2
13,39.742569,-84.091756,2016-09-07T22:47:25,4
19,49.156651,-123.013354,2016-09-07T22:47:24,2
96,39.524170,-84.356546,2016-09-07T22:47:24,4
129,39.647898,-77.703132,2016-09-07T22:47:23,4
100,60.507643,4.912018,2016-09-07T22:47:22,3
98,35.148951,-120.652121,2016-09-07T22:47:21,2
96,43.769010,-79.207355,2016-09-07T22:47:20,4
54,52.997818,6.556937,2016-09-07T22:47:18,3
84,29.936586,-90.071428,2016-09-07T22:47:17,4
129,37.601017,-122.368003,2016-09-07T22:47:15,2
16,36.780616,-119.762916,2016-09-07T22:47:14,2
133,47.658762,-122.297406,2016-09-07T22:47:13,2
19,49.159057,-123.018545,2016-09-07T22:47:10,2
16,29.972896,-90.235203,2016-09-07T22:47:08,4
13,49.155984,-123.017632,2016-09-07T22:47:07,2
56,25.710232,-100.356061,2016-09-07T22:47:04,2
10,52.996006,6.556176,2016-09-07T22:47:03,3
39,36.853946,-121.429056,2016-09-07T22:47:02,2
129,-37.576034,143.866380,2016-09-07T22:46:58,0
133,49.160874,-123.017028,2016-09-07T22:46:55,2
98,43.768506,-79.214494,2016-09-07T22:46:54,4
19,49.262229,14.713025,2016-09-07T22:46:52,3
21,48.584071,7.749888,2016-09-07T22:46:51,3
13,39.649608,-77.710198,2016-09-07T22:46:48,4
74,60.516645,4.909395,2016-09-07T22:46:42,3
